Mandarin,Chinese
Spanish,
English,
Hindi,
Arabic,
Portuguese,
Bengali,
Russian,
Japanese,
Punjabi,
German,
Javanese,
Wu,Shanghainese,
Malay,Indonesian and Malaysian
Telugu,
Vietnamese,
Korean,
French,
Marathi,
Tamil,
Urdu,
Turkish,
Italian,
Yue,Cantones
Thai,
Gujarati,
Jin,
Southern Min,Hokkien and Teochew
Persian,
Polish,
Pashto,
Kannada,
Xiang,
Malayalam,
Sundanese,
Hausa,
Odia,Oriy
Burmese
Hakka
Ukrainian
Bhojpuri,
Tagalog,Filipin
Yoruba,
Maithili,
Uzbek,
Sindhi,
Amharic,
Fula,
Romanian,
Oromo,
Igbo,
Azerbaijani,
Awadhi,
Gan,
Cebuano,Visaya
Dutch,
Kurdish,
Serbo-Croatian,
Malagasy,
Saraiki,
Nepali,
Sinhala,
Chittagonian,
Zhuang,
Khmer,
Turkmen,
Assamese,
Madurese,
Somali,
Marwari,
Magahi,
Haryanvi,
Hungarian,
Chhattisgarhi,
Greek,
Chewa,
Deccan,
Akan,
Kazakh,
Northern Min,
Sylheti,
Zulu,
Czech,
Kinyarwanda,
Dhundhari,
Haitian Creole,
Eastern Min,Fuzhou dialect
Ilocano,
Quechua,
Kirundi,
Swedish,
Hmong,
Shona,
Uyghur,
Hiligaynon/Ilonggo,Visaya,
Mossi,
Xhosa,
Belarusian,
Balochi,
Konkani,
